00:16:14 : CPU 33.3%, MEM 21.2%
00:16:15 : CPU 33.3%, MEM 21.2%
00:16:16 : CPU 40.0%, MEM 21.2%
00:16:18 : CPU 46.7%, MEM 21.3%
00:16:19 : CPU 46.7%, MEM 21.3%
00:16:20 : CPU 40.0%, MEM 21.3%
00:16:21 : CPU 40.0%, MEM 21.3%
00:16:22 : CPU 46.7%, MEM 21.3%
00:16:23 : CPU 37.5%, MEM 21.3%
00:16:25 : CPU 25.0%, MEM 21.3%
00:16:26 : CPU 40.0%, MEM 21.3%
00:16:27 : CPU 40.0%, MEM 21.3%
00:16:28 : CPU 33.3%, MEM 21.3%
00:16:29 : CPU 40.0%, MEM 21.3%
00:16:30 : CPU 33.3%, MEM 21.3%
00:16:31 : CPU 40.0%, MEM 21.3%
00:16:33 : CPU 53.3%, MEM 21.3%
00:16:34 : CPU 46.7%, MEM 21.3%
00:16:35 : CPU 43.8%, MEM 21.3%
00:16:36 : CPU 31.2%, MEM 21.3%
00:16:37 : CPU 40.0%, MEM 21.3%
00:16:38 : CPU 40.0%, MEM 21.3%
00:16:40 : CPU 40.0%, MEM 21.3%
00:16:41 : CPU 40.0%, MEM 21.3%
00:16:42 : CPU 40.0%, MEM 21.3%
00:16:43 : CPU 40.0%, MEM 21.3%
00:16:44 : CPU 40.0%, MEM 21.3%
00:16:45 : CPU 40.0%, MEM 21.3%
00:16:47 : CPU 46.7%, MEM 21.3%
00:16:48 : CPU 46.7%, MEM 21.3%
00:16:49 : CPU 46.7%, MEM 21.3%
00:16:50 : CPU 40.0%, MEM 21.3%
00:16:51 : CPU 40.0%, MEM 21.3%
00:16:52 : CPU 40.0%, MEM 21.3%
00:16:54 : CPU 37.5%, MEM 21.3%
00:16:55 : CPU 37.5%, MEM 21.3%
00:16:56 : CPU 37.5%, MEM 21.3%
00:16:57 : CPU 37.5%, MEM 21.3%
00:16:58 : CPU 43.8%, MEM 21.3%
00:16:59 : CPU 33.3%, MEM 21.3%
00:17:01 : CPU 40.0%, MEM 21.3%
00:17:02 : CPU 33.3%, MEM 21.3%
00:17:03 : CPU 40.0%, MEM 21.3%
00:17:04 : CPU 40.0%, MEM 21.3%
00:17:05 : CPU 33.3%, MEM 21.3%
00:17:06 : CPU 31.2%, MEM 21.3%
00:17:07 : CPU 37.5%, MEM 21.3%
00:17:09 : CPU 43.8%, MEM 21.3%
