02:54:09 : CPU 12.5%, MEM 5.0%
02:54:10 : CPU 18.8%, MEM 5.0%
02:54:11 : CPU 26.7%, MEM 5.0%
02:54:13 : CPU 13.3%, MEM 5.0%
02:54:14 : CPU 20.0%, MEM 5.0%
02:54:15 : CPU 20.0%, MEM 5.0%
02:54:16 : CPU 12.5%, MEM 5.0%
02:54:17 : CPU 26.7%, MEM 5.0%
02:54:18 : CPU 13.3%, MEM 5.0%
02:54:20 : CPU 13.3%, MEM 5.0%
02:54:21 : CPU 13.3%, MEM 5.0%
02:54:22 : CPU 13.3%, MEM 5.0%
02:54:23 : CPU 12.5%, MEM 5.0%
02:54:24 : CPU 12.5%, MEM 5.0%
02:54:25 : CPU 20.0%, MEM 5.0%
02:54:26 : CPU 20.0%, MEM 5.0%
02:54:28 : CPU 20.0%, MEM 5.0%
02:54:29 : CPU 18.8%, MEM 5.0%
02:54:30 : CPU 18.8%, MEM 5.0%
02:54:31 : CPU 20.0%, MEM 5.0%
02:54:32 : CPU 20.0%, MEM 5.0%
02:54:33 : CPU 20.0%, MEM 5.0%
02:54:35 : CPU 13.3%, MEM 5.0%
02:54:36 : CPU 20.0%, MEM 5.0%
02:54:37 : CPU 20.0%, MEM 5.0%
02:54:38 : CPU 12.5%, MEM 5.0%
02:54:39 : CPU 18.8%, MEM 5.0%
02:54:40 : CPU 20.0%, MEM 5.0%
