03:10:28 : CPU 0.0%, MEM 21.7%
03:10:29 : CPU 0.0%, MEM 21.7%
03:10:30 : CPU 0.0%, MEM 21.7%
03:10:31 : CPU 0.0%, MEM 21.7%
03:10:32 : CPU 0.0%, MEM 21.7%
03:10:33 : CPU 6.7%, MEM 21.7%
03:10:35 : CPU 33.3%, MEM 21.8%
03:10:36 : CPU 33.3%, MEM 21.8%
03:10:37 : CPU 40.0%, MEM 21.8%
03:10:38 : CPU 37.5%, MEM 21.8%
03:10:39 : CPU 25.0%, MEM 21.8%
03:10:40 : CPU 25.0%, MEM 21.8%
03:10:42 : CPU 40.0%, MEM 21.8%
03:10:43 : CPU 40.0%, MEM 21.8%
03:10:44 : CPU 33.3%, MEM 21.8%
03:10:45 : CPU 33.3%, MEM 21.8%
03:10:46 : CPU 40.0%, MEM 21.8%
03:10:47 : CPU 40.0%, MEM 21.8%
03:10:48 : CPU 37.5%, MEM 21.8%
03:10:50 : CPU 37.5%, MEM 21.8%
03:10:51 : CPU 43.8%, MEM 21.8%
03:10:52 : CPU 40.0%, MEM 21.8%
03:10:53 : CPU 33.3%, MEM 21.8%
03:10:54 : CPU 33.3%, MEM 21.8%
03:10:55 : CPU 46.7%, MEM 21.8%
03:10:57 : CPU 33.3%, MEM 21.8%
03:10:58 : CPU 33.3%, MEM 21.7%
03:10:59 : CPU 37.5%, MEM 21.7%
03:11:00 : CPU 37.5%, MEM 21.7%
03:11:01 : CPU 26.7%, MEM 21.7%
03:11:02 : CPU 33.3%, MEM 21.7%
03:11:04 : CPU 40.0%, MEM 21.7%
03:11:05 : CPU 46.7%, MEM 21.7%
03:11:06 : CPU 37.5%, MEM 21.7%
03:11:07 : CPU 37.5%, MEM 21.4%
03:11:08 : CPU 40.0%, MEM 21.4%
03:11:09 : CPU 40.0%, MEM 21.4%
03:11:11 : CPU 46.7%, MEM 21.4%
03:11:12 : CPU 46.7%, MEM 21.4%
03:11:13 : CPU 40.0%, MEM 21.4%
03:11:14 : CPU 37.5%, MEM 21.4%
03:11:15 : CPU 40.0%, MEM 21.4%
03:11:16 : CPU 33.3%, MEM 21.4%
03:11:18 : CPU 40.0%, MEM 21.4%
03:11:19 : CPU 40.0%, MEM 21.4%
03:11:20 : CPU 46.7%, MEM 21.4%
03:11:21 : CPU 40.0%, MEM 21.4%
03:11:22 : CPU 33.3%, MEM 21.4%
03:11:23 : CPU 40.0%, MEM 21.4%
03:11:24 : CPU 40.0%, MEM 21.4%
03:11:26 : CPU 37.5%, MEM 21.4%
03:11:27 : CPU 43.8%, MEM 21.4%
03:11:28 : CPU 37.5%, MEM 21.4%
03:11:29 : CPU 40.0%, MEM 21.4%
03:11:30 : CPU 33.3%, MEM 21.4%
03:11:31 : CPU 0.0%, MEM 21.4%
03:11:33 : CPU 6.7%, MEM 21.4%
03:11:34 : CPU 0.0%, MEM 21.4%
03:11:35 : CPU 13.3%, MEM 21.4%
03:11:36 : CPU 0.0%, MEM 21.4%
03:11:37 : CPU 0.0%, MEM 21.4%
03:11:38 : CPU 0.0%, MEM 21.4%
