01:52:53 : CPU 18.8%, MEM 2.4%
01:52:55 : CPU 12.5%, MEM 2.4%
01:52:56 : CPU 20.0%, MEM 2.4%
01:52:57 : CPU 26.7%, MEM 2.4%
01:52:58 : CPU 13.3%, MEM 2.4%
01:52:59 : CPU 20.0%, MEM 2.4%
01:53:00 : CPU 20.0%, MEM 2.4%
01:53:01 : CPU 20.0%, MEM 2.4%
01:53:03 : CPU 18.8%, MEM 2.4%
01:53:04 : CPU 13.3%, MEM 2.4%
01:53:05 : CPU 20.0%, MEM 2.4%
01:53:06 : CPU 20.0%, MEM 2.4%
01:53:07 : CPU 20.0%, MEM 2.4%
01:53:08 : CPU 20.0%, MEM 2.4%
01:53:10 : CPU 20.0%, MEM 2.4%
01:53:11 : CPU 18.8%, MEM 2.4%
01:53:12 : CPU 18.8%, MEM 2.4%
01:53:13 : CPU 13.3%, MEM 2.4%
01:53:14 : CPU 26.7%, MEM 2.4%
01:53:15 : CPU 20.0%, MEM 2.4%
01:53:17 : CPU 20.0%, MEM 2.4%
01:53:18 : CPU 13.3%, MEM 2.4%
01:53:19 : CPU 20.0%, MEM 2.4%
01:53:20 : CPU 12.5%, MEM 2.4%
01:53:21 : CPU 26.7%, MEM 2.4%
01:53:22 : CPU 20.0%, MEM 2.4%
01:53:24 : CPU 26.7%, MEM 2.4%
01:53:25 : CPU 20.0%, MEM 2.4%
01:53:26 : CPU 26.7%, MEM 2.4%
01:53:27 : CPU 13.3%, MEM 2.4%
01:53:28 : CPU 12.5%, MEM 2.4%
01:53:29 : CPU 12.5%, MEM 2.4%
01:53:31 : CPU 13.3%, MEM 2.4%
01:53:32 : CPU 13.3%, MEM 2.4%
01:53:33 : CPU 26.7%, MEM 2.4%
01:53:34 : CPU 13.3%, MEM 2.4%
01:53:35 : CPU 12.5%, MEM 2.4%
01:53:36 : CPU 18.8%, MEM 2.4%
01:53:37 : CPU 20.0%, MEM 2.4%
01:53:39 : CPU 20.0%, MEM 2.4%
01:53:40 : CPU 20.0%, MEM 2.4%
01:53:41 : CPU 20.0%, MEM 2.4%
01:53:42 : CPU 25.0%, MEM 2.4%
01:53:43 : CPU 18.8%, MEM 2.4%
01:53:44 : CPU 20.0%, MEM 2.4%
01:53:46 : CPU 20.0%, MEM 2.4%
01:53:47 : CPU 20.0%, MEM 2.4%
01:53:48 : CPU 20.0%, MEM 2.4%
01:53:49 : CPU 20.0%, MEM 2.4%
01:53:50 : CPU 20.0%, MEM 2.4%
01:53:51 : CPU 18.8%, MEM 2.4%
01:53:53 : CPU 12.5%, MEM 2.4%
